0,14
25,0
50,2
75,3
100,0
125,0
150,2
175,0
200,3
225,1
250,0
275,33
300,4
325,0
350,0
375,8
400,1
425,0
450,7
475,18
500,0
525,0
550,0
575,34
600,0
625,0
650,1
675,71
700,0
725,0
750,1
775,22
800,0
825,0
850,2
875,22
900,0
925,0
950,0
975,12
1000,0
1025,0
1050,0
1075,11
1100,0
1125,0
1150,0
1175,8
1200,0
1225,0
1250,2
1275,3
1300,0
1325,0
1350,0
1375,1
1400,0
1425,0
1450,0
1475,2
1500,1
1525,0
1550,0
1575,5
1600,0
1625,0
1650,0
1675,3
1700,0
1725,0
1750,1
1775,0
1800,0
1825,0
1850,0
1875,3
1900,0
1925,0
1950,0
1975,1
2000,0
2025,0
2050,0
2075,0
2100,0
2125,0
2150,0
2175,7
2200,0
2225,0
2250,1
2275,0
2300,0
2325,0
2350,0
2375,0
2400,0
2425,0
2450,0
2475,0
2500,0
2525,0
2550,0
2575,0
2600,0
2625,0
2650,0
2675,0
2700,0
2725,0
2750,0
2775,0
2800,0
2825,0
2850,0
2875,0
2900,0
2925,0
2950,0
2975,0
3000,0
3025,0
3050,0
3075,0
3100,0
3125,0
3150,0
3175,0
3200,0
3225,0
3250,0
3275,2
