0,0
0,1655
1,1295
2,1082
3,887
4,735
5,588
6,480
7,389
8,339
9,290
10,248
11,223
12,197
13,179
14,164
15,142
16,125
17,113
18,103
19,91
20,89
21,81
22,74
23,72
24,71
25,65
26,57
27,56
28,51
29,47
30,46
32,43
33,41
34,39
35,37
36,35
37,33
38,30
39,29
40,28
41,27
44,26
45,25
46,23
48,22
50,20
52,19
53,18
54,17
62,16
63,15
71,14
75,13
92,12
100,11
118,10
141,9
149,7
252,6
254,5
371,4
522,3
567,2
837,1
